Question,Answer
What are the Sales Department hours?,"The Sales Department is open Monday through Saturday from 8:00 AM to 8:00 PM, and on Sundays from 10:00 AM to 6:00 PM. Please note we are closed on Thanksgiving, Christmas Day, and New Year's Day."
What are the Service Department hours?,"Our Service Department is open Monday through Friday from 7:00 AM to 7:00 PM, and on Saturdays from 8:00 AM to 5:00 PM. We are closed on Sundays to give our technicians a day of rest."
What time does early bird service drop-off begin?,"You can drop off your vehicle as early as 6:00 AM, Monday through Friday, using our secure key drop box located near the service entrance."
What is the Emergency Service Line phone number?,"For any after-hours emergencies or immediate towing needs, you can reach our 24/7 Emergency Service Line at (310) 555-0199."
What is the main dealership phone number?,"Our main dealership switchboard can be reached at (310) 555-0100. From there, we can route you to any department."
What is the direct phone number for Sales?,"If you'd like to speak directly with a sales representative, you can call them at (310) 555-0125."
What is the direct phone number for Service?,"To speak with a service advisor or check on your vehicle, you can call the Service Department directly at (310) 555-0150."
What is the direct phone number for Parts?,"For inquiries about specific parts or accessories, please call our Parts Department directly at (310) 555-0175."
What is the physical address of the dealership?,"We are located at 123 Luxury Auto Blvd, Los Angeles, California, 90210."
What are the driving directions to the dealership?,"We are very easy to find. We're located right off Exit 42 on Interstate 95, situated immediately next to the stadium."
Is parking available at the dealership?,"Yes, absolutely. We offer ample, complimentary parking for all our customers in our covered parking garage."
What public transportation options are available?,"If you're taking public transit, you can use Metro Line B and get off at the Stadium Station. It's just a short, 5-minute walk to our dealership from there."
How many new vehicles are in stock?,"We currently have an excellent selection of over 200 new vehicles in stock. Our luxury lineup includes top models from Mercedes-Benz, BMW, Audi, Porsche, and Land Rover."
How many certified pre-owned (CPO) vehicles are in stock?,"We maintain a premium inventory of over 150 certified pre-owned vehicles, all thoroughly inspected and ready for a test drive."
What are the age and mileage limits for CPO vehicles?,"To qualify for our certified pre-owned program, a vehicle must be under 5 years old and have less than 60,000 miles on the odometer."
What is the minimum extended warranty term included with a CPO vehicle?,"Every certified pre-owned vehicle comes with a minimum extended warranty covering 1 year or 12,000 miles, whichever comes first, for your peace of mind."
Is a vehicle history report included with CPO vehicles?,"Yes, we provide a complimentary, comprehensive CARFAX vehicle history report with every single certified pre-owned vehicle on our lot."
How many points are checked in the CPO inspection?,Our factory-certified technicians perform a rigorous 172-point inspection to ensure every certified pre-owned vehicle meets our highest standards.
Is roadside assistance included with CPO vehicles?,"Yes, as part of the certified pre-owned benefits, you receive complimentary 24/7 roadside assistance for one full year."
What happens if a desired vehicle color or trim is not in stock?,"If we don't have your exact preference, we can usually secure it from one of our partner dealers within 48 hours, and we do this at no extra cost to you."
How long does a custom factory order take?,"If you choose to custom build your vehicle from the factory, delivery typically takes between 8 to 12 weeks, depending on the manufacturer and model."
How much is the deposit for a custom factory order?,"To place a custom factory order, we require a $1,000 deposit, which is completely refundable if you change your mind."
How much is the deposit to reserve an in-stock vehicle?,You can reserve any in-stock vehicle for up to 72 hours with a fully refundable deposit of just $500.
Is home delivery available?,"Yes, we offer a highly convenient free home delivery service within a 50-mile radius of the dealership. We can even complete all the paperwork at your home."
What is the Tier 1 promotional APR for new vehicles?,"For customers who qualify for Tier 1 credit, we are currently offering a promotional rate of 1.9% APR for up to 60 months on new vehicles."
What is the promotional APR for CPO vehicles?,Our current promotional financing for certified pre-owned vehicles is a highly competitive 3.9% APR for up to 72 months.
What is the starting price for lease specials?,"Our attractive lease specials currently start at $499 per month for 36 months, with $3,000 due at signing."
How long are promotional interest rates valid?,"Once quoted, our promotional interest rates and finance offers are locked in and valid for 7 days."
What credit score is required for Tier 1 financing?,"To qualify for our premium Tier 1 financing rates, a credit score of 720 or above is generally required."
What credit score falls under Tier 2 financing?,"Customers with credit scores ranging from 650 to 719 typically fall under our Tier 2 financing options, which still offer excellent rates."
What credit score falls under Tier 3 financing?,"Credit scores below 650 are categorized as Tier 3. For these customers, we work with specialized lenders to find the best possible financing solutions."
What down payment is recommended?,"While it varies by vehicle and credit, we generally recommend a down payment of 10% to 20% of the vehicle's purchase price to secure the best monthly payment."
Do Tier 1 buyers need a down payment?,"Highly qualified buyers in the Tier 1 credit bracket often qualify for our zero-down payment options, allowing you to drive off with no money upfront."
What is the minimum down payment for first-time buyers?,"For first-time vehicle buyers, we have programs that allow for down payments as low as $1,000 to help you get started."
What payment methods are accepted?,"We accept a variety of payment methods including cash, cashier's checks, verified personal checks, wire transfers, partner financing, and credit cards for a portion of the payment."
What is the limit for credit card payments?,"You can use a major credit card to pay for up to $5,000 of your vehicle purchase, which is great for covering a deposit or part of a down payment."
How long does the online pre-approval process take?,Our online financing pre-approval process is very fast; it typically only takes about 15 to 30 minutes to get your results.
How long is a financing pre-approval valid?,"Once you are pre-approved for financing, that approval is locked in and valid for 30 days, giving you plenty of time to shop."
Does the pre-approval process affect credit scores?,"No, our initial pre-approval process utilizes a soft credit inquiry, meaning it will not have any impact on your credit score."
Are non-running vehicles accepted for trade-in?,"Yes, absolutely. We will accept any vehicle for trade-in, regardless of its make, model, or current condition, even if it is not currently running."
Can a vehicle be traded in if it has an existing loan?,"Yes, you can trade in a vehicle that still has a loan. We will seamlessly handle paying off your existing loan as part of the new transaction."
Can negative equity be rolled into a new vehicle loan?,"In most cases, yes. If you owe more than your trade-in is worth, our finance team can often roll that negative equity into the financing of your new vehicle."
What source is used for baseline trade-in valuations?,"To ensure fairness and transparency, we use Kelley Blue Book as the primary baseline when evaluating the value of your trade-in."
Does the dealership match written trade-in offers?,"Yes, we have a price match guarantee on trade-ins. We will match any valid, written offer from CarMax, provided it was issued within the last 7 days."
Will the dealership buy a car if the customer is not purchasing a vehicle?,"Yes, we are always looking to expand our inventory. We will gladly make you a cash offer for your vehicle, valid for 7 days, even if you don't buy from us."
What documents are required to trade in a vehicle?,"To process a trade-in, please bring the vehicle's title or current payoff information, your valid photo ID, the current vehicle registration, all sets of keys, and any maintenance records you have."
How can a service appointment be scheduled?,"You have several convenient ways to schedule service. You can call or text us at (310) 555-0150, book directly on our website 24/7, or simply ask me to set it up for you right now."
Are walk-ins accepted for service?,"Walk-ins are certainly welcome, though we highly recommend making an appointment. Without an appointment, you may experience delays during our peak hours."
What is included in an Express Service visit?,"Every Express Service visit automatically includes a highly detailed, complimentary multi-point inspection to ensure your vehicle is in top shape."
